Fechamento,Abertura_Lag1,Máxima_Lag1,Mínima_Lag1,Fechamento_Lag1,Volume_Lag1,Último_Lag1,Abertura_Media5,Máxima_Media5,Mínima_Media5,Fechamento_Media5,Volume_Media5,Último_Media5,Volatilidade5,Abertura_Media10,Máxima_Media10,Mínima_Media10,Fechamento_Media10,Volume_Media10,Último_Media10,Volatilidade10,Variação_Dia_Anterior_Lag1,Tendencia_5_10
1.0,36.681,36.951,36.475,1.0,73270000.0,36.594,36.1742,36.639799999999994,35.9822,0.8,86558000.0,36.3794,1.1766987719888218,35.8361,36.345800000000004,35.53,0.6,88193000.0,35.9875,2.0107381176517687,0.08699999999999619,0.20000000000000007
0.0,36.595,37.112,36.593,1.0,72160000.0,36.888,36.382,36.9154,36.289,0.6,95686000.0,36.7536,0.8329345712599525,35.9894,36.5329,35.714000000000006,0.6,95058000.0,36.190599999999996,2.0222308913123097,-0.29299999999999926,0.0
0.0,36.886,37.522,36.841,0.0,126320000.0,37.381,36.7532,37.1386,36.5994,0.4,93162000.0,36.9242,0.9529428104561162,36.1931,36.7259,35.9403,0.5,94994000.0,36.411699999999996,1.969355224432606,-0.49499999999999744,-0.09999999999999998
1.0,37.381,37.399,37.077,0.0,66819999.99999999,37.077,36.924,37.2136,36.70440000000001,0.6,84410000.0,36.955799999999996,0.9378699270154693,36.4137,36.903200000000005,36.1348,0.5,94838000.0,36.5826,2.0087707684053946,0.30400000000000205,0.09999999999999998
1.0,37.077,37.084,36.536,1.0,83480000.0,36.839,36.9564,37.3196,36.7762,0.6,90180000.0,37.0946,1.0319980620136848,36.5844,36.9728,36.3046,0.6,89483000.0,36.63289999999999,1.4083422090450097,0.23799999999999955,0.0
1.0,36.843,37.481,36.834,1.0,102120000.0,37.288,37.095000000000006,37.4348,36.836200000000005,0.6,91278000.0,37.2072,1.00781942827076,36.6346,37.0373,36.4092,0.7,88918000.0,36.7933,1.042477817509802,-0.4449999999999932,-0.09999999999999998
0.0,37.288,37.688,36.893,1.0,77650000.0,37.451,37.2102,37.5648,36.9604,0.6,80670000.0,37.300599999999996,0.941902330393126,36.7961,37.2401,36.624700000000004,0.6,88178000.0,37.0271,0.9336213841214698,-0.1630000000000038,0.0
0.0,37.462,38.172,37.462,0.0,73280000.0,37.848,37.303,37.66080000000001,37.0486,0.6,80364000.0,37.4248,0.8382601028320513,37.0281,37.3997,36.824,0.5,86763000.0,37.1745,0.8490524129875613,-0.3859999999999957,0.09999999999999998
0.0,37.845,37.879,37.518,0.0,65290000.00000001,37.698,37.4274,37.860200000000006,37.2478,0.4,84002000.0,37.577,0.7389993234097046,37.17569999999999,37.5369,36.976099999999995,0.5,84206000.0,37.2664,0.8139130447685703,0.14699999999999847,-0.09999999999999998
1.0,37.699,38.081,37.532,0.0,101670000.0,37.6,37.5792,37.9812,37.31699999999999,0.4,86020000.0,37.5704,0.7729683046542086,37.2678,37.650400000000005,37.0466,0.5,88100000.0,37.332499999999996,0.8848107142208442,0.09899999999999665,-0.09999999999999998
0.0,37.602,38.086,37.18,1.0,112210000.0,37.255,37.5726,37.928200000000004,37.3242,0.2,90568000.0,37.551,0.7513321502504745,37.333800000000004,37.6815,37.080200000000005,0.4,90923000.0,37.3791,0.8592503192382948,0.3469999999999942,-0.2
0.0,37.255,37.423,36.929,0.0,100390000.0,37.354,37.551,37.794200000000004,37.209,0.2,90848000.0,37.3702,0.5466443084858762,37.3806,37.679500000000004,37.0847,0.4,85759000.0,37.33540000000001,0.8231538265854217,-0.09899999999999665,-0.2
1.0,37.354,37.502,36.886,0.0,74680000.0,36.944,37.372,37.655199999999994,37.0034,0.4,92160000.0,37.142,0.597218552960306,37.3375,37.658,37.025999999999996,0.5,86262000.0,37.2834,0.8488004607811088,0.4099999999999966,-0.09999999999999998
1.0,36.95,37.184,36.49,1.0,71850000.0,36.557,37.144,37.5224,36.8088,0.6,94696000.0,37.0812,1.3407572487217818,37.285700000000006,37.6913,37.0283,0.5,89349000.0,37.329100000000004,1.0636185615362515,0.3930000000000007,0.09999999999999998
0.0,36.559,37.417,36.559,1.0,114350000.0,37.296,37.0828,37.4446,36.8148,0.4,120758000.0,37.165800000000004,1.345091074983401,37.331,37.712900000000005,37.0659,0.4,103389000.0,37.368100000000005,1.0424735541543064,-0.7370000000000019,0.0
0.0,37.296,37.697,37.21,0.0,242520000.0,37.678,37.122,37.5644,36.9094,0.4,121968000.0,37.2068,1.3666308938407625,37.347300000000004,37.746300000000005,37.1168,0.3,106268000.0,37.3789,1.0432832788845035,-0.3819999999999979,0.10000000000000003
0.0,37.451,38.022,37.402,0.0,106440000.0,37.559,37.163,37.5818,36.9678,0.4,122296000.0,37.3284,1.2022478945708333,37.357,37.688,37.08839999999999,0.3,106572000.0,37.34930000000001,0.9789586303823059,-0.10799999999999699,0.10000000000000003
0.0,37.559,37.589,37.178,0.0,76320000.0,37.552,37.283,37.655,37.0976,0.2,131104000.0,37.4492,1.1993831748027823,37.3275,37.655100000000004,37.0505,0.3,111632000.0,37.2956,1.022448042689701,0.006999999999997897,-0.09999999999999998
0.0,37.55,37.55,37.139,0.0,115890000.0,37.161,37.4034,37.6226,37.08800000000001,0.0,125500000.0,37.325599999999994,0.9170169027886027,37.273700000000005,37.572500000000005,36.94840000000001,0.3,110098000.0,37.2034,1.0868731910086538,0.3889999999999958,-0.3
1.0,37.161,37.255,36.511,0.0,86330000.0,36.678,37.279199999999996,37.4212,36.748400000000004,0.2,106048000.0,36.892399999999995,1.236818499214821,37.181,37.432900000000004,36.781600000000005,0.3,113403000.0,37.0291,1.4253264733230615,0.4830000000000041,-0.09999999999999998
1.0,36.675,36.69,35.512,1.0,145260000.0,35.512,36.8918,36.991200000000006,36.2926,0.4,102612000.0,36.54,1.5025711297639133,37.006899999999995,37.2778,36.601,0.4,112290000.0,36.8734,1.4651966117593611,1.1629999999999967,0.0
1.0,35.514,35.872,35.123,1.0,89260000.0,35.797,36.539,36.699,35.974199999999996,0.6,105210000.0,36.221199999999996,1.5874444872183728,36.851,37.1404,36.471000000000004,0.5,113753000.0,36.7748,1.4668999814423465,-0.28299999999999415,0.09999999999999998
0.0,35.795,36.128,35.586,1.0,89310000.0,35.958,36.220600000000005,36.4668,35.676199999999994,0.6,97768000.0,36.064,1.8120099337476057,36.7518,37.060900000000004,36.386900000000004,0.4,114436000.0,36.756600000000006,1.5010696186386563,-0.1629999999999967,0.19999999999999996
1.0,35.958,36.389,35.649,0.0,78680000.0,36.375,36.0652,36.3392,35.5766,0.8,92380000.0,35.9892,1.7430088926910274,36.7343,36.9809,36.3323,0.4,108940000.0,36.657399999999996,1.31502471459665,-0.4170000000000016,0.4
0.0,36.384,36.617,36.013,1.0,59390000.0,36.304,35.9908,36.3052,35.6992,0.6,92176000.0,36.1494,0.5554097586467136,36.635000000000005,36.86319999999999,36.2238,0.4,99112000.0,36.5209,1.2426499462394427,0.0799999999999983,0.19999999999999996
1.0,36.303,36.52,36.125,0.0,144240000.0,36.313,36.1506,36.452,35.8772,0.6,104734000.0,36.2364,0.5796723212298487,36.5212,36.7216,36.084900000000005,0.5,103673000.0,36.3882,1.2434365462075037,-0.010000000000005116,0.09999999999999998
1.0,36.313,36.606,36.013,1.0,152050000.0,36.232,36.238,36.6922,36.0064,0.6,106662000.0,36.5106,1.3912656108737829,36.3885,36.6956,35.990300000000005,0.6,105936000.0,36.365899999999996,1.6438018263904093,0.08100000000000307,0.0
