"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.07.2025","135.250","135.298","136.022","134.380","6,90M","-0,04%"
"14.07.2025","135.299","136.187","136.187","134.840","7,33M","-0,65%"
"11.07.2025","136.187","136.742","136.742","135.528","7,40B","-0,41%"
"10.07.2025","136.743","137.472","137.472","136.014","9,57B","-0,54%"
"09.07.2025","137.481","139.303","139.331","137.299","7,58B","-1,31%"
"08.07.2025","139.303","139.491","139.591","138.770","6,75B","-0,13%"
"07.07.2025","139.490","141.265","141.342","139.295","6,12B","-1,26%"
"04.07.2025","141.264","140.928","141.564","140.597","3,31B","0,24%"
"03.07.2025","140.928","139.051","141.304","139.051","6,08B","1,35%"
"02.07.2025","139.051","139.586","140.049","138.384","8,81B","-0,36%"
"01.07.2025","139.549","138.855","139.695","138.855","6,35B","0,50%"
"30.06.2025","138.855","136.865","139.103","136.430","7,68B","1,45%"
"27.06.2025","136.866","137.113","137.209","136.469","6,24B","-0,18%"
"26.06.2025","137.114","135.767","137.353","135.756","8,02B","0,99%"
"25.06.2025","135.767","137.163","137.163","135.565","7,71B","-1,02%"
"24.06.2025","137.165","136.552","138.156","136.254","8,08B","0,45%"
"23.06.2025","136.551","137.116","137.130","135.835","7,73B","-0,41%"
"20.06.2025","137.116","138.715","138.719","136.815","11,29B","-1,15%"
"18.06.2025","138.717","138.844","139.161","138.443","8,32B","-0,09%"
"17.06.2025","138.840","139.256","139.497","138.293","8,38B","-0,30%"
"16.06.2025","139.256","137.212","139.988","137.212","7,62B","1,49%"
